Epoch,Train_Loss,Val_Loss
1,7.00,6.00
2,6.55,5.55
3,6.20,5.20
4,5.85,4.90
5,5.60,4.70
6,5.40,4.55
7,5.25,4.45
8,5.15,4.35
9,5.05,4.25
10,5.00,4.18
11,4.95,4.10
12,4.92,4.02
13,4.90,3.95
14,4.88,3.85
15,4.87,3.75
16,4.86,3.65
17,4.86,3.58
18,4.86,3.52
19,4.86,3.48
20,4.86,3.44
21,4.86,3.44
22,4.8471,3.4364
23,4.8102,3.4181
24,4.7728,3.4057
25,4.7357,3.3928
26,4.6986,3.3788
27,4.6620,3.3681
28,4.6258,3.3544
29,4.5904,3.3420
30,4.5555,3.3288
31,4.5212,3.3157
32,4.4875,3.3037
33,4.4545,3.2902
34,4.4222,3.2772
35,4.3904,3.2656
36,4.3593,3.2529
37,4.3287,3.2397
38,4.2987,3.2272
39,4.2692,3.2140
40,4.2403,3.2020
